"drug_id","spec","qty","rule_key","pre_tc","note"
甲磺酸倍他司汀片,"6mg*100片",100,甲磺酸倍他司汀片,,
甲磺酸雷沙吉兰片,"1mg*28片",28,甲磺酸雷沙吉兰片,,
甲钴胺片,"0.5mg*60T",60,甲钴胺片（亚宝力维）,,
甲钴胺片（亚宝力维）,"0.5mg*60T",60,甲钴胺片,,
疏风解毒胶囊,"0.52g*36粒",36,疏风解毒胶囊,,
盐酸乌拉地尔注射液,"5ml:25mg",5,盐酸乌拉地尔注射液,,
盐酸乐卡地平片,"10mg*14片",14,盐酸乐卡地平片,,
盐酸二甲双胍缓释片,"0.5g*30片",30,盐酸二甲双胍缓释片,,
盐酸伊伐布雷定片,"5mg*14片",14,盐酸伊伐布雷定片,,
盐酸倍他司汀注射液,"2ml:10mg*10支/盒",10,盐酸倍他司汀注射液,,
盐酸克林霉素棕榈酸酯分散片,"75mg*18片",18,盐酸克林霉素棕榈酸酯分散片,,
盐酸利多卡因注射液,"5ml:0.1g*5支",5,盐酸利多卡因注射液,,
盐酸右美托咪定氯化钠注射液,"20ml:0.08mg:0.18g",5,盐酸右美托咪定氯化钠注射液,,
盐酸右美托咪定注射液,"2ml:0.2mg*5支",5,盐酸右美托咪定注射液,,
盐酸吗啡注射液,"10mg*1ml*10支",10,盐酸吗啡注射液,,
盐酸哌替啶注射液,"50mg*1ml",5,盐酸哌替啶注射液,,
盐酸坦索罗辛缓释胶囊,"0.2mg*21粒",21,盐酸坦索罗辛缓释胶囊,,
盐酸多奈哌齐片,"5mg*14片",14,盐酸多奈哌齐片,,
盐酸多巴胺注射液,"2.5ml:50mg*5支",5,盐酸多巴胺注射液,,
盐酸多巴酚丁胺注射液,"5ml:100mg",5,盐酸多巴酚丁胺注射液,,
盐酸左西替利嗪口服溶液,"0.05%（10ml：5mg）*6支/盒",6,盐酸左西替利嗪口服溶液,,
盐酸帕罗西汀片,"20mg*30片",30,盐酸帕罗西汀片,,
盐酸异丙嗪注射液,"2ml:50mg*10支",10,盐酸异丙嗪注射液,,
盐酸异丙肾上腺素注射液,"1mg*2ml*2支",2,盐酸异丙肾上腺素注射液,,
盐酸文拉法辛缓释片,"75mg*14片",14,盐酸文拉法辛缓释片,,
盐酸普奈洛尔片,"10mg*100片",100,盐酸普萘洛尔片,,
盐酸普拉克索片,"0.25mg*60片",60,盐酸普拉克索片,,
盐酸普罗帕酮注射液,"10ml:35mg*5支/盒",5,盐酸普罗帕酮注射液,,
盐酸普萘洛尔片,"10mg*100片",100,盐酸普萘洛尔片,,
盐酸曲美他嗪片,"20mg*60片",60,盐酸曲美他嗪片,,
盐酸曲马多注射液,"0.1g*2ml*5支",5,盐酸曲马多注射液,,
盐酸替扎尼定片,"2mg*24片",24,盐酸替扎尼定片,,
盐酸氟桂利嗪胶囊,"5mg*40粒",40,盐酸氟桂利嗪胶囊,,
盐酸氨基葡萄糖胶囊,"0.75g*60粒",60,盐酸氨基葡萄糖胶囊,,
盐酸氨溴索注射液,"2ml:15mg*5支",5,盐酸氨溴索注射液,,
盐酸氨溴索片,"30mg*20片",20,盐酸氨溴索片,,
盐酸氯丙嗪注射液,"1ml:25mg*10支",10,盐酸氯丙嗪注射液,,
盐酸消旋山莨菪碱注射液,"10mg*1ml*10支",10,盐酸消旋山莨菪碱注射液,,
盐酸特拉唑嗪片,"2mg*28片",28,盐酸特拉唑嗪片,,
盐酸甲氧氯普胺注射液,"10mg*1ml*10支",10,盐酸甲氧氯普胺注射液,,
盐酸纳洛酮注射液,"1ml:0.4mg*10支",10,盐酸纳洛酮注射液,,
盐酸罂粟碱注射液,"1ml:30mg",10,盐酸罂粟碱注射液,,
盐酸罗哌卡因注射液,"10ml：100mg*10支",10,盐酸罗哌卡因注射液,,
盐酸肾上腺素注射液,"1ml:1mg*10支",10,盐酸肾上腺素注射液,,
盐酸胺碘酮注射液,"3ml:150mg*10支",10,盐酸胺碘酮注射液,,
盐酸胺碘酮片,"0.2g*10片",10,盐酸胺碘酮片,,
盐酸胺碘酮片,"0.2g*24片",24,盐酸胺碘酮片,,
盐酸舍曲林片,"50mg*28片",28,盐酸舍曲林片,,
盐酸苯海拉明注射液,"20mg*1ml*10支",10,盐酸苯海拉明注射液,,
盐酸苯海索片,"2mg*100片",100,盐酸苯海索片（安坦）,,
盐酸苯海索片（安坦）,"2mg*100片",100,盐酸苯海索片,,
盐酸莫西沙星氯化钠注射液,"250ml：0.4g:2g",40,盐酸莫西沙星氯化钠注射液,,
盐酸西那卡塞片,"25mg*24片",24,盐酸西那卡塞片,,
盐酸贝那普利片,"10mg*28片",28,盐酸贝那普利片,,
盐酸金刚烷胺片,"0.1g*100片",100,盐酸金刚烷胺片,,
盐酸阿米替林片,"25mg*100片",100,盐酸阿米替林片,,
盐酸麻黄碱注射液,"30mg*1ml*10支",10,盐酸麻黄碱注射液,,
破伤风抗毒素,"1500IU*0.75ml*10支",10,破伤风抗毒素,,
破伤风抗毒素,"1500IU*0.75ml/支",10,破伤风抗毒素（新药房）,,
硝苯地平控释片,"30mg*7片*3板",21,硝苯地平控释片,,
硝苯地平片,"10mg*100片",100,硝苯地平片,,
硝苯地平缓释片(Ⅱ),"20mg*60片",60,硝苯地平缓释片（II）,,
硝苯地平缓释片（II）,"20mg*60片",60,硝苯地平缓释片(Ⅱ),,
硝酸甘油注射液,"5mg*1ml*10支",10,硝酸甘油注射液,,
